RequestedDateTime,Rig,Material,QtyRequested,ReceivedDateTime,QtyReceived,Vessel,OriginPort
1/1/2021 8:00,AlphaRig,DeckCargo,5,1/6/2021 5:14,5,150A,RotterdamPort
1/1/2021 8:00,BetaRig,DeckCargo,7,1/4/2021 8:49,7,150B,RotterdamPort
1/1/2021 8:00,BetaRig,LiquidBulk,2000,1/4/2021 9:59,2000,150B,RotterdamPort
1/1/2021 8:00,BetaRig,Fuel,7700,1/4/2021 10:39,7700,150B,RotterdamPort
1/1/2021 8:00,BetaRig,DryBulk,2300,1/4/2021 14:30,2300,150B,RotterdamPort
1/1/2021 8:00,BetaRig,Pipe,5,1/4/2021 15:25,5,150B,RotterdamPort
1/1/2021 8:00,CharlieRig,LiquidBulk,2800,1/6/2021 10:46,2800,150E,HamburgPort
1/1/2021 8:00,DeltaRig,DeckCargo,7,1/7/2021 1:02,7,150F,HamburgPort
1/1/2021 8:00,DeltaRig,Fuel,1400,1/7/2021 2:12,1400,150F,HamburgPort
1/1/2021 8:00,DeltaRig,DryBulk,2800,1/7/2021 2:54,2800,150F,HamburgPort
1/1/2021 8:00,DeltaRig,Pipe,5,1/7/2021 4:01,5,150F,HamburgPort
1/2/2021 8:00,AlphaRig,DeckCargo,7,1/6/2021 6:04,7,150A,RotterdamPort
1/2/2021 8:00,AlphaRig,DryBulk,1800,1/6/2021 7:14,1800,150A,RotterdamPort
1/2/2021 8:00,AlphaRig,Pipe,5,1/6/2021 7:58,5,150A,RotterdamPort
1/2/2021 8:00,BetaRig,LiquidBulk,4400,1/4/2021 16:40,4400,150B,RotterdamPort
1/2/2021 8:00,BetaRig,DryBulk,2700,1/4/2021 18:08,2700,150B,RotterdamPort
1/2/2021 8:00,BetaRig,Pipe,5,1/4/2021 19:13,5,150B,RotterdamPort
1/2/2021 8:00,CharlieRig,DeckCargo,5,1/6/2021 11:42,5,150E,HamburgPort
1/2/2021 8:00,CharlieRig,LiquidBulk,3100,1/6/2021 12:32,3100,150E,HamburgPort
1/2/2021 8:00,CharlieRig,Fuel,1900,1/6/2021 13:34,1900,150E,HamburgPort
1/2/2021 8:00,CharlieRig,Casing,9,1/6/2021 14:31,9,150E,HamburgPort
1/2/2021 8:00,CharlieRig,Pipe,5,1/6/2021 16:28,5,150E,HamburgPort
1/2/2021 8:00,DeltaRig,LiquidBulk,2400,1/7/2021 5:16,2400,150F,HamburgPort
1/2/2021 8:00,DeltaRig,Fuel,2100,1/7/2021 6:04,2100,150F,HamburgPort
1/2/2021 8:00,DeltaRig,Casing,9,1/7/2021 7:07,9,150F,HamburgPort
1/2/2021 8:00,DeltaRig,Pipe,18,1/7/2021 9:04,18,150F,HamburgPort
1/3/2021 8:00,AlphaRig,LiquidBulk,3700,1/6/2021 9:13,3700,150A,RotterdamPort
1/3/2021 8:00,AlphaRig,Casing,20,1/6/2021 10:27,20,150A,RotterdamPort
1/3/2021 8:00,AlphaRig,DryBulk,2300,1/6/2021 14:47,2300,150A,RotterdamPort
1/3/2021 8:00,BetaRig,DeckCargo,5,1/6/2021 12:09,5,150C,RotterdamPort
1/3/2021 8:00,BetaRig,DryBulk,2200,1/6/2021 12:59,2200,150C,RotterdamPort
1/3/2021 8:00,BetaRig,Pipe,40,1/6/2021 13:52,40,150C,RotterdamPort
1/3/2021 8:00,CharlieRig,DeckCargo,7,1/6/2021 17:43,7,150E,HamburgPort
1/3/2021 8:00,CharlieRig,LiquidBulk,1500,1/6/2021 18:53,1500,150E,HamburgPort
1/3/2021 8:00,CharlieRig,Fuel,1700,1/6/2021 19:23,1700,150E,HamburgPort
1/3/2021 8:00,CharlieRig,Casing,9,1/6/2021 20:14,9,150E,HamburgPort
1/3/2021 8:00,CharlieRig,DryBulk,2700,1/6/2021 22:11,2700,150E,HamburgPort
1/3/2021 8:00,DeltaRig,LiquidBulk,2800,1/7/2021 13:34,2800,150F,HamburgPort
1/3/2021 8:00,DeltaRig,Casing,9,1/7/2021 14:30,9,150F,HamburgPort
1/3/2021 8:00,DeltaRig,DryBulk,2600,1/8/2021 23:58,2600,150G,HamburgPort
1/4/2021 8:00,AlphaRig,DeckCargo,5,1/6/2021 15:42,5,150A,RotterdamPort
1/4/2021 8:00,AlphaRig,LiquidBulk,2400,1/6/2021 16:32,2400,150A,RotterdamPort
1/4/2021 8:00,AlphaRig,DryBulk,2400,1/6/2021 17:20,2400,150A,RotterdamPort
1/4/2021 8:00,BetaRig,DeckCargo,5,1/6/2021 23:52,5,150C,RotterdamPort
1/4/2021 8:00,BetaRig,LiquidBulk,3800,1/7/2021 0:42,3800,150C,RotterdamPort
1/4/2021 8:00,BetaRig,Fuel,2500,1/7/2021 1:57,2500,150C,RotterdamPort
1/4/2021 8:00,BetaRig,Casing,12,1/7/2021 3:12,12,150C,RotterdamPort
1/4/2021 8:00,BetaRig,DryBulk,2300,1/7/2021 5:48,2300,150C,RotterdamPort
1/4/2021 8:00,BetaRig,Pipe,12,1/7/2021 15:53,12,150D,RotterdamPort
1/4/2021 8:00,CharlieRig,LiquidBulk,1500,1/6/2021 23:16,1500,150E,HamburgPort
1/4/2021 8:00,CharlieRig,Pipe,50,1/8/2021 15:12,50,150H,HamburgPort
1/4/2021 8:00,DeltaRig,DeckCargo,5,1/9/2021 1:00,5,150G,HamburgPort
1/4/2021 8:00,DeltaRig,LiquidBulk,2200,1/9/2021 1:50,2200,150G,HamburgPort
1/4/2021 8:00,DeltaRig,Fuel,2500,1/9/2021 2:34,2500,150G,HamburgPort
1/4/2021 8:00,DeltaRig,Pipe,50,1/9/2021 3:49,50,150G,HamburgPort
1/5/2021 8:00,AlphaRig,LiquidBulk,1200,1/6/2021 18:17,1200,150A,RotterdamPort
1/5/2021 8:00,AlphaRig,Casing,20,1/9/2021 6:06,20,150B,RotterdamPort
1/5/2021 8:00,AlphaRig,DryBulk,2300,1/9/2021 10:26,2300,150B,RotterdamPort
1/5/2021 8:00,AlphaRig,Pipe,12,1/9/2021 11:21,12,150B,RotterdamPort
1/5/2021 8:00,BetaRig,DeckCargo,5,1/7/2021 18:53,5,150D,RotterdamPort
1/5/2021 8:00,BetaRig,Fuel,9500,1/7/2021 19:43,9500,150D,RotterdamPort
1/5/2021 8:00,BetaRig,Casing,20,1/8/2021 0:28,20,150D,RotterdamPort
1/5/2021 8:00,BetaRig,DryBulk,2000,1/8/2021 4:48,2000,150D,RotterdamPort
1/5/2021 8:00,BetaRig,Pipe,5,1/8/2021 5:36,5,150D,RotterdamPort
1/5/2021 8:00,CharlieRig,LiquidBulk,2200,1/9/2021 3:42,2200,150H,HamburgPort
1/5/2021 8:00,CharlieRig,Casing,12,1/9/2021 4:26,12,150H,HamburgPort
1/5/2021 8:00,CharlieRig,DryBulk,3100,1/9/2021 7:02,3100,150H,HamburgPort
1/5/2021 8:00,CharlieRig,Pipe,40,1/9/2021 15:18,40,150I,HamburgPort
1/5/2021 8:00,DeltaRig,DeckCargo,5,1/9/2021 16:19,5,150G,HamburgPort
1/5/2021 8:00,DeltaRig,LiquidBulk,3300,1/9/2021 17:09,3300,150G,HamburgPort
1/5/2021 8:00,DeltaRig,Fuel,2900,1/11/2021 3:16,2900,150J,HamburgPort
1/5/2021 8:00,DeltaRig,Casing,12,1/11/2021 4:43,12,150J,HamburgPort
1/5/2021 8:00,DeltaRig,DryBulk,2900,1/11/2021 7:19,2900,150J,HamburgPort
1/6/2021 8:00,AlphaRig,Fuel,2000,1/9/2021 14:21,2000,150B,RotterdamPort
1/6/2021 8:00,AlphaRig,Casing,9,1/9/2021 15:21,9,150B,RotterdamPort
1/6/2021 8:00,BetaRig,DeckCargo,7,1/10/2021 9:39,7,150A,RotterdamPort
1/6/2021 8:00,BetaRig,LiquidBulk,1400,1/10/2021 10:49,1400,150A,RotterdamPort
1/6/2021 8:00,BetaRig,DryBulk,2100,1/10/2021 11:17,2100,150A,RotterdamPort
1/6/2021 8:00,CharlieRig,DeckCargo,32,1/9/2021 8:16,32,150H,HamburgPort
1/6/2021 8:00,CharlieRig,LiquidBulk,2100,1/9/2021 13:36,2100,150H,HamburgPort
1/6/2021 8:00,CharlieRig,Pipe,12,1/10/2021 1:18,12,150I,HamburgPort
1/6/2021 8:00,DeltaRig,Casing,20,1/11/2021 8:28,20,150J,HamburgPort
1/6/2021 8:00,DeltaRig,DryBulk,1800,1/11/2021 12:48,1800,150J,HamburgPort
1/7/2021 8:00,AlphaRig,DeckCargo,5,1/9/2021 17:18,5,150B,RotterdamPort
1/7/2021 8:00,AlphaRig,DryBulk,2400,1/9/2021 18:08,2400,150B,RotterdamPort
1/7/2021 8:00,AlphaRig,Pipe,12,1/9/2021 19:06,12,150B,RotterdamPort
1/7/2021 8:00,BetaRig,DeckCargo,7,1/10/2021 12:07,7,150A,RotterdamPort
1/7/2021 8:00,BetaRig,Casing,12,1/10/2021 13:17,12,150A,RotterdamPort
1/7/2021 8:00,BetaRig,DryBulk,2200,1/10/2021 15:53,2200,150A,RotterdamPort
1/7/2021 8:00,BetaRig,Pipe,18,1/10/2021 16:46,18,150A,RotterdamPort
1/7/2021 8:00,CharlieRig,Fuel,6700,1/10/2021 4:18,6700,150I,HamburgPort
1/7/2021 8:00,CharlieRig,Casing,12,1/10/2021 7:39,12,150I,HamburgPort
1/7/2021 8:00,CharlieRig,DryBulk,1800,1/10/2021 10:15,1800,150I,HamburgPort
1/7/2021 8:00,CharlieRig,Pipe,18,1/12/2021 12:31,18,150E,HamburgPort
1/7/2021 8:00,DeltaRig,DeckCargo,7,1/11/2021 13:31,7,150J,HamburgPort
1/7/2021 8:00,DeltaRig,LiquidBulk,3300,1/11/2021 14:41,3300,150J,HamburgPort
1/7/2021 8:00,DeltaRig,Fuel,7100,1/15/2021 22:07,7100,150F,HamburgPort
1/7/2021 8:00,DeltaRig,Casing,12,1/16/2021 1:40,12,150F,HamburgPort
1/7/2021 8:00,DeltaRig,Pipe,12,1/11/2021 15:47,12,150J,HamburgPort
1/8/2021 8:00,AlphaRig,LiquidBulk,4300,1/12/2021 6:48,4300,150C,RotterdamPort
1/8/2021 8:00,AlphaRig,Fuel,2400,1/9/2021 22:06,2400,150B,RotterdamPort
1/8/2021 8:00,AlphaRig,DryBulk,2200,1/12/2021 8:14,2200,150C,RotterdamPort
1/8/2021 8:00,BetaRig,DeckCargo,7,1/10/2021 21:16,7,150A,RotterdamPort
1/8/2021 8:00,BetaRig,LiquidBulk,2500,1/10/2021 22:26,2500,150A,RotterdamPort
1/8/2021 8:00,BetaRig,Casing,9,1/10/2021 23:16,9,150A,RotterdamPort
1/8/2021 8:00,BetaRig,DryBulk,2500,1/11/2021 1:13,2500,150A,RotterdamPort
1/8/2021 8:00,CharlieRig,LiquidBulk,2300,1/12/2021 19:43,2300,150E,HamburgPort
1/8/2021 8:00,CharlieRig,Casing,20,1/12/2021 20:29,20,150E,HamburgPort
1/8/2021 8:00,CharlieRig,DryBulk,2500,1/13/2021 0:49,2500,150E,HamburgPort
1/8/2021 8:00,DeltaRig,DeckCargo,7,1/16/2021 4:56,7,150H,HamburgPort
1/8/2021 8:00,DeltaRig,LiquidBulk,1500,1/16/2021 4:16,1500,150F,HamburgPort
1/8/2021 8:00,DeltaRig,Casing,12,1/16/2021 4:46,12,150F,HamburgPort
1/8/2021 8:00,DeltaRig,DryBulk,2600,1/16/2021 6:06,2600,150H,HamburgPort
1/9/2021 8:00,AlphaRig,Casing,20,1/12/2021 9:07,20,150C,RotterdamPort
1/9/2021 8:00,AlphaRig,DryBulk,2300,1/12/2021 13:27,2300,150C,RotterdamPort
1/9/2021 8:00,AlphaRig,Pipe,5,1/12/2021 14:22,5,150C,RotterdamPort
1/9/2021 8:00,BetaRig,LiquidBulk,2900,1/14/2021 8:13,2900,150D,RotterdamPort
1/9/2021 8:00,BetaRig,Fuel,1300,1/14/2021 9:11,1300,150D,RotterdamPort
1/9/2021 8:00,BetaRig,Casing,9,1/14/2021 17:45,9,150D,RotterdamPort
1/9/2021 8:00,BetaRig,DryBulk,2700,1/14/2021 19:42,2700,150D,RotterdamPort
1/9/2021 8:00,BetaRig,Pipe,5,1/14/2021 20:47,5,150D,RotterdamPort
1/9/2021 8:00,CharlieRig,DeckCargo,5,1/12/2021 17:01,5,150E,HamburgPort
1/9/2021 8:00,CharlieRig,Fuel,1500,1/12/2021 17:51,1500,150E,HamburgPort
1/9/2021 8:00,CharlieRig,DryBulk,2800,1/12/2021 18:36,2800,150E,HamburgPort
1/9/2021 8:00,DeltaRig,DeckCargo,5,1/16/2021 7:22,5,150F,HamburgPort
1/9/2021 8:00,DeltaRig,LiquidBulk,1700,1/16/2021 7:09,1700,150H,HamburgPort
1/9/2021 8:00,DeltaRig,DryBulk,3300,1/16/2021 7:43,3300,150H,HamburgPort
1/9/2021 8:00,DeltaRig,Pipe,5,1/16/2021 8:12,5,150F,HamburgPort
1/10/2021 8:00,AlphaRig,Casing,20,1/12/2021 15:37,20,150C,RotterdamPort
1/10/2021 8:00,BetaRig,DeckCargo,5,1/14/2021 9:50,5,150D,RotterdamPort
1/10/2021 8:00,BetaRig,Fuel,3100,1/14/2021 10:40,3100,150D,RotterdamPort
1/10/2021 8:00,BetaRig,DryBulk,2600,1/14/2021 12:13,2600,150D,RotterdamPort
1/10/2021 8:00,BetaRig,Pipe,18,1/14/2021 13:15,18,150D,RotterdamPort
1/10/2021 8:00,CharlieRig,DeckCargo,7,1/13/2021 1:49,7,150E,HamburgPort
1/10/2021 8:00,CharlieRig,LiquidBulk,2100,1/13/2021 2:59,2100,150E,HamburgPort
1/10/2021 8:00,CharlieRig,Fuel,1700,1/13/2021 3:41,1700,150E,HamburgPort
1/10/2021 8:00,CharlieRig,Casing,12,1/15/2021 10:52,12,150I,HamburgPort
1/10/2021 8:00,CharlieRig,DryBulk,2700,1/15/2021 13:28,2700,150I,HamburgPort
1/10/2021 8:00,DeltaRig,DeckCargo,5,1/16/2021 9:27,5,150F,HamburgPort
1/10/2021 8:00,DeltaRig,Fuel,1500,1/16/2021 9:02,1500,150H,HamburgPort
1/10/2021 8:00,DeltaRig,Casing,12,1/16/2021 9:47,12,150H,HamburgPort
1/10/2021 8:00,DeltaRig,Pipe,12,1/16/2021 10:17,12,150F,HamburgPort
1/11/2021 8:00,AlphaRig,Casing,12,1/14/2021 10:54,12,150B,RotterdamPort
1/11/2021 8:00,AlphaRig,DryBulk,2300,1/12/2021 19:57,2300,150C,RotterdamPort
1/11/2021 8:00,AlphaRig,Pipe,12,1/14/2021 13:30,12,150B,RotterdamPort
1/11/2021 8:00,BetaRig,LiquidBulk,3100,1/15/2021 9:28,3100,150A,RotterdamPort
